sequence,official_set,weather,radar_frames,annotated_frames,annotation_coverage,classes,train_validation_suitability,reason_for_inclusion_exclusion,local_availability
city_3_0,train_good_weather,overcast_urban,~720,~700,>95%,"car, van, bus, truck, pedestrian, bicycle",SUITABLE (SYNTHETIC_DEGRADATION_ONLY),"ALTERNATIVE: Dense annotations, clear sensor modalities; suitable if adopting a synthetic-degradation training paradigm. Not locally available.",REMOTE (Provider download needed)
city_4_0,train_good_weather,overcast_urban,~720,~700,>95%,"car, van, bus, truck, pedestrian, bicycle",SUITABLE (SYNTHETIC_DEGRADATION_ONLY),ALTERNATIVE: Overcast urban sequence for synthetic degradation pipeline. Not locally available.,REMOTE (Provider download needed)
city_1_0,train_good_weather,sunny_parked,~540,~500,~90%,"car, van",MARGINAL,LOW PRIORITY: Static parked vehicles scenario; poor dynamic scene diversity. Not locally available.,REMOTE (Provider download needed)
city_2_0,train_good_weather,sunny_parked,~540,~500,~90%,"car, van",MARGINAL,LOW PRIORITY: Static parked vehicles scenario. Not locally available.,REMOTE (Provider download needed)
motorway_1_0,train_good_weather,overcast_motorway,~540,~480,~88%,"car, van, truck",MARGINAL,LOW PRIORITY: Highway domain mismatch with suburban test set fog_6_0. Not locally available.,REMOTE (Provider download needed)
night_1_0,train_bad_weather,night_motorway,~540,~500,~92%,"car, truck",MARGINAL (CROSS_CONDITION),CROSS-WEATHER ONLY: Night motorway conditions; does not match suburban fog distribution. Not locally available.,REMOTE (Provider download needed)
rain_1_0,train_bad_weather,rain_suburban,~600,~550,~91%,"car, van, pedestrian",MARGINAL (CROSS_CONDITION),CROSS-WEATHER ONLY: Rain attenuation dynamics; potential multi-weather test but not primary fog train. Not locally available.,REMOTE (Provider download needed)
snow_1_0,train_bad_weather,snow_suburban,~600,~500,~83%,"car, van",UNSUITABLE,EXCLUDED: Severe LiDAR beam extinction in blizzard; extreme domain discrepancy from fog_6_0. Not locally available.,REMOTE (Provider download needed)
city_5_0,test,overcast_urban,~720,~700,>95%,"car, van, bus, truck, pedestrian",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
city_6_0,test,overcast_urban,~720,~700,>95%,"car, van, bus, truck, pedestrian",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
motorway_2_0,test,overcast_motorway,~540,~480,~88%,"car, van, truck",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
night_2_0,test,night_motorway,~540,~500,~92%,"car, truck",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
rain_2_0,test,rain_suburban,~600,~550,~91%,"car, van, pedestrian",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
snow_3_0,test,snow_suburban,~600,~500,~83%,"car, van",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
snow_4_0,test,snow_suburban,~600,~500,~83%,"car, van",TEST_ONLY (HELD_OUT),EXCLUDED from Train/Val: Official RADIATE test partition.,REMOTE
